step	depth	row	col	cands	cs	val
597	24	9	4	1	47	7
598	25	9	1	1	47	2
599	21	7	2	1	44	9
600	22	2	1	2	45	2
601	23	9	1	1	48	6
602	24	9	4	1	47	7
603	22	2	1	1	45	4
604	23	3	1	1	42	1
605	26	7	9	1	33	2
606	28	9	2	1	54	1
607	19	5	7	1	47	7
608	20	4	7	1	27	2
609	23	9	6	2	44	2
610	24	7	9	1	33	2
611	26	9	2	1	55	6
612	23	9	6	1	44	3
613	24	9	5	2	46	1
614	25	9	4	1	48	8
615	27	7	9	1	33	8
616	24	9	5	1	46	2
617	17	6	7	1	42	2
618	18	7	6	1	44	5
619	19	5	7	2	47	1
620	20	4	7	1	27	7
621	21	9	2	2	56	1
622	22	9	4	1	48	9
623	21	3	2	1	42	1
624	22	9	1	2	48	1
625	23	9	4	1	49	9
626	22	7	3	1	46	1
627	23	7	2	2	44	8
628	24	7	1	1	44	9
629	23	7	2	1	44	9
630	19	5	7	1	47	7
631	16	9	8	1	28	7
632	17	9	4	2	50	8
633	18	9	5	2	47	1
634	19	7	3	1	46	1
635	21	8	3	1	30	8
636	22	3	6	1	42	8
637	23	7	1	2	45	7
638	24	9	2	1	56	5
639	23	7	1	1	45	9
640	24	7	8	1	42	8
641	18	9	5	1	47	3
642	19	9	6	1	44	1
643	20	7	3	1	46	1
644	21	8	3	1	30	8
645	22	5	7	2	48	1
646	23	3	2	1	42	1
647	22	5	7	1	48	2
648	23	7	6	2	44	2
649	24	7	8	1	43	9
650	23	7	6	1	44	7
651	24	7	8	1	44	8
652	17	9	4	1	50	9
653	18	8	3	1	30	9
654	19	1	2	1	45	9
655	20	2	6	1	27	9
656	21	9	5	2	47	2
657	22	7	8	1	45	9
658	26	4	8	1	27	8
659	21	9	5	1	47	3
660	22	9	6	1	44	2
661	23	9	9	1	27	8
662	26	4	8	1	28	8
663	14	6	8	1	42	6
664	15	5	8	1	42	9
665	17	7	8	2	45	7
666	18	9	8	1	28	8
667	19	9	4	2	50	7
668	20	9	5	2	47	1
669	21	9	6	1	44	2
670	24	7	9	1	34	2
671	20	9	5	1	47	2
